Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-06-20;62,14;63,07;61,46;62,98;1.856.646;116.364.757
2022-06-17;62,00;62,46;61,03;61,93;8.659.417;536.311.141
2022-06-16;63,52;63,53;61,31;61,70;3.319.069;205.598.313
2022-06-15;63,00;63,90;62,53;63,44;3.421.889;216.923.588
2022-06-14;62,48;62,92;61,37;62,29;3.057.644;190.192.081
2022-06-13;63,50;63,99;61,68;62,15;4.698.245;293.161.556
2022-06-10;66,30;66,55;64,76;64,91;3.222.045;210.723.447
2022-06-09;67,66;68,22;66,83;66,95;2.377.373;159.912.688
2022-06-08;68,04;68,19;67,07;67,95;2.396.213;162.490.591
2022-06-07;67,66;68,21;67,19;67,77;1.824.079;123.459.817
2022-06-06;67,90;68,36;67,33;68,23;1.860.110;126.579.801
2022-06-03;68,19;68,33;67,01;67,35;2.015.728;135.962.909
2022-06-02;67,10;68,42;67,10;67,80;2.123.752;144.277.135
2022-06-01;66,91;67,95;66,91;67,30;2.800.907;188.919.739
2022-05-31;66,11;67,42;65,60;66,20;8.549.353;566.351.300
2022-05-30;66,33;66,75;65,71;66,27;1.714.484;113.606.998
2022-05-27;65,52;66,02;64,79;66,02;2.659.850;174.485.749
2022-05-26;64,30;65,54;64,15;65,20;2.741.419;178.166.957
2022-05-25;64,31;64,48;63,29;64,00;2.180.008;139.239.935
2022-05-24;64,12;65,08;63,71;63,71;2.312.803;148.259.624
2022-05-23;64,60;64,61;63,15;64,56;2.226.726;142.952.125
2022-05-20;63,54;65,30;63,14;63,30;4.037.406;258.841.330
2022-05-19;64,03;64,03;61,99;63,28;3.904.945;246.280.484
2022-05-18;65,20;65,86;64,70;64,76;2.660.096;173.099.330
2022-05-17;64,08;65,16;63,91;65,14;2.785.107;180.691.344
2022-05-16;64,05;64,60;63,04;63,56;2.472.225;157.478.470
2022-05-13;63,65;64,56;62,92;64,10;3.062.818;196.114.437
2022-05-12;63,00;63,83;62,05;63,51;3.339.970;210.437.105
2022-05-11;62,28;63,94;62,01;63,86;4.564.813;289.446.288
2022-05-10;61,50;62,40;61,05;61,13;2.562.459;157.754.655
2022-05-09;61,69;62,63;60,56;60,56;2.550.726;156.037.044
2022-05-06;60,68;62,47;60,31;62,08;3.781.433;233.854.771
2022-05-05;63,40;63,84;60,74;61,00;3.077.742;190.439.140
2022-05-04;62,97;63,27;62,29;62,33;2.525.642;158.060.924
2022-05-03;62,32;62,89;61,60;62,88;3.449.636;215.573.912
2022-05-02;61,79;63,12;61,76;62,22;4.880.723;304.417.311
2022-04-29;67,10;67,53;66,43;67,10;6.141.085;411.667.564
2022-04-28;65,00;66,88;64,88;66,51;5.497.785;363.572.502
2022-04-27;63,79;65,50;62,53;63,88;5.329.559;341.775.527
2022-04-26;64,91;65,12;62,81;62,91;4.784.384;304.661.411
2022-04-25;63,73;64,40;62,96;63,83;4.119.685;262.532.088
2022-04-22;65,10;65,87;64,73;64,73;3.535.982;230.263.849
2022-04-21;65,62;66,66;65,13;65,85;3.029.738;199.997.853
2022-04-20;64,89;66,20;64,53;65,35;3.107.995;203.511.159
2022-04-19;63,40;64,64;63,01;64,28;2.834.276;181.530.420
2022-04-14;63,20;63,96;62,82;63,32;3.459.542;218.824.343
2022-04-13;62,28;63,36;61,88;62,86;2.297.064;144.132.119
2022-04-12;61,50;63,15;60,80;62,50;2.791.096;173.707.680
2022-04-11;62,55;62,74;61,52;62,39;3.274.607;203.719.913
2022-04-08;63,46;64,14;62,67;63,22;2.477.629;156.911.559
2022-04-07;62,44;63,28;62,08;62,28;2.920.342;182.347.501
2022-04-06;62,70;62,95;60,62;62,23;4.539.402;280.567.750
2022-04-05;64,49;64,82;62,62;62,96;3.425.810;217.011.242
2022-04-04;63,99;64,54;62,81;64,26;2.538.008;162.004.301
2022-04-01;64,01;64,76;63,31;63,49;2.848.350;181.901.607
2022-03-31;65,80;65,97;63,40;63,81;4.179.264;267.952.646
2022-03-30;66,43;66,93;64,95;65,35;3.326.372;217.830.004
2022-03-29;65,11;68,16;64,66;66,85;4.830.793;321.861.989
2022-03-28;63,39;65,23;63,30;63,91;2.760.387;177.418.850
2022-03-25;63,32;64,10;62,51;63,21;2.499.241;158.208.055
2022-03-24;63,35;64,33;62,47;63,12;2.963.436;187.436.511
2022-03-23;64,72;64,83;62,78;63,32;2.832.496;180.069.541
2022-03-22;63,78;64,93;63,10;64,16;3.027.640;194.579.262
2022-03-21;63,02;63,92;62,53;63,32;2.621.597;166.209.258
2022-03-18;63,87;64,98;62,21;62,63;8.469.566;531.053.930
2022-03-17;65,80;65,91;63,49;64,00;4.486.444;287.864.583
2022-03-16;64,31;66,08;63,25;65,26;6.129.054;398.124.188
2022-03-15;60,39;62,85;59,23;62,14;5.067.779;310.300.958
2022-03-14;60,16;61,48;59,68;60,76;4.719.598;286.234.374
2022-03-11;59,36;61,62;58,06;58,59;6.157.828;366.754.293
2022-03-10;61,36;61,81;57,33;59,09;6.757.062;398.156.355
2022-03-09;59,14;61,36;58,15;61,36;6.946.066;418.078.048
2022-03-08;56,44;58,70;56,43;57,00;6.732.058;386.784.389
2022-03-07;55,22;59,45;54,67;57,39;8.645.172;496.046.219
2022-03-04;58,85;60,09;56,81;58,00;9.611.532;559.639.685
2022-03-03;64,00;64,41;60,00;60,21;6.123.312;377.355.286
2022-03-02;65,20;65,33;63,05;64,06;8.133.642;520.770.047
2022-03-01;69,50;70,49;66,32;66,44;6.811.103;459.321.746
2022-02-28;69,90;70,60;68,17;70,50;4.369.828;301.314.310
2022-02-25;70,46;72,10;68,35;72,06;6.292.551;444.205.894
2022-02-24;69,00;71,33;67,85;68,79;8.297.015;575.222.758
2022-02-23;74,30;75,25;72,94;73,57;3.345.429;247.764.659
2022-02-22;71,48;74,21;71,10;73,22;3.938.250;288.189.321
2022-02-21;76,64;77,07;73,81;74,03;3.466.863;260.126.588
2022-02-18;76,51;77,65;75,25;75,59;2.876.383;219.062.190
2022-02-17;76,94;77,90;75,47;76,06;3.129.408;239.701.750
2022-02-16;75,49;77,42;75,20;75,82;3.338.076;254.545.449
2022-02-15;74,15;75,46;73,45;75,38;4.255.754;319.137.295
2022-02-14;71,97;74,98;71,74;74,31;6.449.171;474.251.661
2022-02-11;69,01;75,36;68,65;74,44;7.685.106;562.940.647
2022-02-10;70,54;70,65;69,20;69,75;2.499.973;174.848.565
2022-02-09;68,40;70,96;68,27;70,54;4.477.504;314.497.526
2022-02-08;67,45;68,95;66,73;67,56;2.866.739;193.850.833
2022-02-07;68,32;68,65;67,56;67,56;2.619.261;177.596.479
2022-02-04;70,38;70,38;67,25;67,83;3.544.933;241.149.093
2022-02-03;69,10;70,45;69,10;69,69;2.636.950;184.162.704
2022-02-02;70,36;70,56;69,24;69,40;2.056.085;143.309.023
2022-02-01;70,00;70,92;69,70;70,16;2.186.518;153.526.973
2022-01-31;70,62;70,82;69,19;69,93;2.650.761;185.268.332
2022-01-28;70,80;70,80;68,50;69,87;3.281.757;227.883.206
2022-01-27;69,46;71,78;69,31;71,15;2.960.980;210.337.150
2022-01-26;69,43;71,07;69,17;70,51;2.931.917;206.634.382
2022-01-25;69,20;69,78;68,02;68,82;3.132.631;215.913.768
2022-01-24;71,48;72,56;67,88;68,30;5.020.505;347.642.366
2022-01-21;72,04;72,08;71,00;71,93;4.055.043;290.512.330
2022-01-20;74,00;74,53;72,15;73,20;3.532.959;258.137.618
2022-01-19;74,09;75,46;73,65;74,50;3.104.068;231.520.307
2022-01-18;73,90;75,21;72,81;74,64;2.955.090;219.387.117
2022-01-17;75,16;75,32;73,48;74,26;1.926.199;143.008.680
2022-01-14;74,72;75,65;74,49;74,79;2.448.641;183.723.844
2022-01-13;73,21;75,60;73,20;75,43;3.906.108;292.962.872
2022-01-12;73,40;74,04;72,44;73,42;2.946.446;215.912.793
