Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-04-19;10,958;11,094;10,842;11,002;11.152.850;122.255.825
2022-04-14;10,98;11,00;10,838;10,976;14.362.799;157.309.424
2022-04-13;10,838;10,896;10,616;10,896;14.699.189;158.318.141
2022-04-12;10,96;11,058;10,638;10,808;34.888.236;378.764.945
2022-04-11;11,83;12,042;11,776;11,924;9.319.572;111.154.009
2022-04-08;11,652;11,948;11,622;11,844;10.219.736;120.801.218
2022-04-07;11,44;11,744;11,382;11,40;10.017.346;115.485.774
2022-04-06;11,74;11,932;11,244;11,394;14.708.099;168.755.049
2022-04-05;11,818;11,972;11,674;11,766;10.328.318;121.893.322
2022-04-04;11,814;11,95;11,622;11,806;8.008.604;94.471.411
2022-04-01;11,65;11,996;11,614;11,822;12.007.818;142.233.237
2022-03-31;11,82;11,94;11,48;11,51;14.294.463;166.768.081
2022-03-30;11,88;11,926;11,566;11,634;10.276.916;120.344.896
2022-03-29;11,842;12,114;11,538;11,968;19.418.742;230.363.822
2022-03-28;11,648;11,972;11,602;11,662;9.880.630;116.417.718
2022-03-25;11,562;11,798;11,458;11,658;10.869.740;126.514.732
2022-03-24;11,57;11,666;11,454;11,54;10.071.605;116.399.493
2022-03-23;11,80;11,866;11,516;11,594;12.200.569;142.268.436
2022-03-22;11,20;11,708;11,176;11,70;17.889.007;206.589.683
2022-03-21;11,076;11,288;11,03;11,078;13.500.809;150.365.297
2022-03-18;10,91;11,05;10,746;11,024;23.661.795;258.869.922
2022-03-17;11,11;11,308;10,662;10,898;17.264.569;188.217.851
2022-03-16;10,64;11,146;10,572;11,07;26.979.208;294.599.409
2022-03-15;10,09;10,484;9,95;10,326;19.914.872;204.607.324
2022-03-14;9,797;10,458;9,719;10,356;28.407.010;290.129.004
2022-03-11;9,896;10,05;9,521;9,591;22.804.222;222.388.855
2022-03-10;9,872;9,968;9,324;9,74;35.128.906;338.425.693
2022-03-09;9,737;9,845;9,436;9,806;27.148.730;262.340.886
2022-03-08;8,711;9,629;8,653;9,119;30.052.317;278.462.966
2022-03-07;8,691;9,214;8,163;8,895;36.011.795;313.558.245
2022-03-04;9,925;9,925;9,148;9,148;35.713.032;334.998.258
2022-03-03;10,486;10,536;10,042;10,102;20.150.401;206.816.435
2022-03-02;10,162;10,522;9,912;10,388;26.810.629;274.400.452
2022-03-01;11,17;11,35;10,408;10,408;27.994.686;299.803.330
2022-02-28;11,214;11,306;10,692;11,26;29.188.148;321.790.004
2022-02-25;11,63;12,074;11,022;11,878;31.405.810;363.751.458
2022-02-24;11,93;12,344;11,246;11,26;44.158.996;515.252.469
2022-02-23;13,308;13,34;12,796;12,874;15.793.934;204.619.435
2022-02-22;12,758;13,366;12,51;13,204;20.094.487;261.738.406
2022-02-21;13,70;13,908;13,168;13,298;12.280.034;165.370.037
2022-02-18;13,70;13,772;13,486;13,564;13.131.951;178.405.572
2022-02-17;13,926;13,952;13,606;13,69;12.682.200;174.357.009
2022-02-16;14,08;14,154;13,734;13,884;12.364.044;171.884.725
2022-02-15;13,804;14,11;13,78;14,018;13.342.424;186.708.508
2022-02-14;13,818;14,02;13,458;13,896;22.979.062;316.586.957
2022-02-11;14,302;14,558;14,112;14,398;16.205.921;231.687.089
2022-02-10;14,356;14,636;14,334;14,462;16.980.055;246.222.644
2022-02-09;14,25;14,446;14,052;14,41;21.499.326;306.176.561
2022-02-08;13,784;14,428;13,766;14,374;19.853.075;281.981.112
2022-02-07;13,77;13,78;13,326;13,698;16.298.114;221.531.052
2022-02-04;13,386;13,656;13,306;13,578;21.303.671;287.425.714
2022-02-03;12,642;13,374;12,632;13,26;25.079.467;328.793.453
2022-02-02;12,71;12,908;12,608;12,64;13.386.633;170.687.092
2022-02-01;12,424;12,688;12,31;12,636;14.939.739;187.010.306
2022-01-31;12,15;12,41;12,052;12,254;15.872.843;194.262.976
2022-01-28;12,04;12,04;11,816;11,912;14.747.257;175.678.270
2022-01-27;11,45;12,116;11,394;11,92;20.304.574;241.761.892
2022-01-26;11,206;11,54;11,196;11,42;12.466.641;142.602.315
2022-01-25;10,94;11,086;10,764;11,074;12.594.659;137.917.694
2022-01-24;11,406;11,478;10,702;10,76;16.753.223;183.492.309
2022-01-21;11,55;11,618;11,332;11,478;12.526.702;143.967.175
2022-01-20;11,72;11,85;11,60;11,676;7.580.793;88.641.049
2022-01-19;11,872;11,962;11,72;11,784;10.312.033;121.944.383
2022-01-18;11,886;12,162;11,854;11,926;8.904.835;106.535.973
2022-01-17;12,07;12,132;11,984;12,018;4.959.428;59.779.316
2022-01-14;12,074;12,19;11,774;11,954;13.552.725;162.226.217
2022-01-13;12,18;12,266;11,91;12,20;12.039.618;145.842.974
2022-01-12;12,41;12,444;12,184;12,224;10.424.643;127.994.702
2022-01-11;12,15;12,416;12,09;12,314;11.994.824;146.957.864
2022-01-10;12,48;12,564;12,33;12,374;10.011.119;124.274.060
2022-01-07;12,33;12,482;12,126;12,366;13.200.588;162.729.178
2022-01-06;11,748;12,252;11,70;12,15;14.599.870;176.527.158
2022-01-05;11,716;11,956;11,602;11,85;10.367.648;122.812.170
2022-01-04;11,374;11,744;11,35;11,692;13.350.463;154.652.130
2022-01-03;11,066;11,378;11,02;11,348;8.813.113;99.459.404
2021-12-30;11,062;11,092;11,008;11,018;3.424.399;37.787.309
2021-12-29;11,258;11,308;11,066;11,112;4.457.001;49.708.326
2021-12-28;11,222;11,334;11,204;11,274;4.022.275;45.378.903
2021-12-27;11,08;11,242;11,014;11,224;3.850.776;43.028.856
2021-12-23;11,022;11,228;11,022;11,192;6.767.967;75.532.007
2021-12-22;10,962;11,004;10,86;10,996;4.817.389;52.732.145
2021-12-21;10,87;11,04;10,778;10,968;6.849.378;74.908.772
2021-12-20;10,68;10,826;10,494;10,712;7.869.924;84.045.788
2021-12-17;11,00;11,06;10,818;10,93;15.850.322;173.435.764
2021-12-16;10,96;11,174;10,956;11,058;10.207.690;113.060.246
2021-12-15;10,982;11,014;10,802;10,836;5.690.290;61.887.845
2021-12-14;10,87;11,054;10,808;10,93;7.452.098;81.412.304
2021-12-13;10,98;11,026;10,788;10,806;5.573.870;60.703.509
2021-12-10;10,96;11,044;10,89;10,92;6.477.812;70.993.864
2021-12-09;11,27;11,296;11,00;11,022;9.418.780;104.475.032
2021-12-08;11,384;11,48;11,138;11,408;8.235.012;93.505.274
2021-12-07;11,282;11,448;11,228;11,386;10.848.052;123.414.717
2021-12-06;10,98;11,216;10,936;11,174;11.810.118;130.935.946
2021-12-03;11,04;11,094;10,726;10,742;10.084.663;109.110.130
2021-12-02;10,732;10,978;10,698;10,922;9.779.658;106.367.404
2021-12-01;10,792;11,004;10,792;10,886;9.992.083;108.981.281
2021-11-30;10,50;10,79;10,41;10,66;14.952.686;158.877.377
2021-11-29;10,936;10,966;10,646;10,678;13.389.305;144.321.223
2021-11-26;10,92;11,038;10,70;10,70;22.453.286;243.562.384
2021-11-25;11,462;11,572;11,404;11,57;8.793.212;101.250.766
2021-11-24;11,15;11,548;11,098;11,45;16.356.050;186.363.237
2021-11-23;10,80;11,188;10,786;11,18;14.866.248;164.718.374
2021-11-22;10,87;10,908;10,694;10,864;10.295.063;111.392.702
2021-11-19;11,37;11,408;10,724;10,824;21.867.321;238.409.205
2021-11-18;11,40;11,582;11,286;11,384;7.928.517;90.590.299
2021-11-17;11,24;11,498;11,224;11,438;8.505.961;96.984.190
2021-11-16;11,23;11,356;11,166;11,238;6.400.562;72.000.794
2021-11-15;11,05;11,236;10,986;11,202;6.568.912;73.236.914
2021-11-12;11,162;11,192;11,038;11,152;4.846.393;53.921.381
2021-11-11;11,10;11,232;11,098;11,162;5.840.942;65.221.591
2021-11-10;11,00;11,144;10,95;11,096;6.919.634;76.546.127
2021-11-09;11,12;11,17;10,942;10,992;8.588.143;94.825.481
2021-11-08;11,154;11,302;11,072;11,188;5.700.175;63.883.853
2021-11-05;11,03;11,274;11,026;11,154;9.489.772;105.959.448
2021-11-04;11,578;11,704;11,008;11,068;15.159.427;170.476.948
2021-11-03;11,348;11,522;11,284;11,498;9.520.142;108.825.927
2021-11-02;11,27;11,344;11,114;11,344;8.361.526;94.102.642
2021-11-01;11,10;11,412;11,10;11,30;8.728.806;98.790.558
2021-10-29;11,082;11,242;11,002;11,146;9.250.019;103.067.121
2021-10-28;11,052;11,268;10,884;11,076;13.528.597;149.360.479
2021-10-27;11,86;11,868;11,028;11,078;27.512.703;309.198.771
2021-10-26;11,75;11,92;11,636;11,902;9.472.890;111.819.658
2021-10-25;11,608;11,746;11,518;11,646;7.337.308;85.402.776
2021-10-22;11,64;11,72;11,482;11,618;7.274.947;84.612.125
2021-10-21;11,494;11,706;11,286;11,574;10.709.243;123.374.894
2021-10-20;11,45;11,546;11,222;11,494;7.833.347;89.278.349
2021-10-19;11,414;11,558;11,382;11,40;4.951.753;56.649.975
2021-10-18;11,484;11,636;11,43;11,44;6.789.564;78.131.901
2021-10-15;11,17;11,502;11,17;11,412;9.418.037;107.214.760
2021-10-14;11,05;11,174;10,994;11,062;7.062.033;78.251.535
2021-10-13;11,404;11,42;10,90;10,952;12.191.740;134.900.655
2021-10-12;11,39;11,45;11,31;11,44;6.303.353;71.854.528
2021-10-11;11,46;11,666;11,456;11,516;8.818.043;102.005.142
2021-10-08;11,41;11,544;11,31;11,444;7.983.614;91.325.553
2021-10-07;11,09;11,494;11,048;11,396;15.275.510;172.791.853
2021-10-06;10,994;11,102;10,72;10,926;10.851.967;118.437.464
2021-10-05;10,63;11,042;10,592;11,042;9.004.704;97.958.094
2021-10-04;10,782;10,864;10,57;10,66;6.977.645;74.486.220
2021-10-01;10,846;10,906;10,686;10,80;8.422.255;90.890.088
2021-09-30;11,098;11,168;10,996;11,038;7.523.651;83.207.455
2021-09-29;10,946;11,00;10,828;10,998;6.781.772;74.176.086
2021-09-28;11,14;11,282;10,906;10,914;10.523.422;116.816.742
2021-09-27;10,88;11,15;10,82;11,102;10.702.579;118.231.691
2021-09-24;10,686;10,834;10,584;10,828;8.388.269;90.247.199
2021-09-23;10,664;10,69;10,53;10,656;6.943.735;73.746.594
2021-09-22;10,26;10,508;10,218;10,49;7.997.731;83.252.401
2021-09-21;10,298;10,398;10,072;10,10;8.641.167;88.390.818
2021-09-20;10,838;10,838;10,204;10,212;18.307.663;190.298.531
2021-09-17;11,16;11,296;11,038;11,058;18.982.897;210.681.386
2021-09-16;11,04;11,174;10,998;11,09;6.523.193;72.347.418
2021-09-15;10,926;11,064;10,906;11,01;6.353.279;69.885.350
2021-09-14;11,032;11,154;10,924;10,964;7.194.384;79.382.327
2021-09-13;10,888;11,082;10,888;11,052;7.597.262;83.657.255
2021-09-10;10,864;11,02;10,774;10,812;6.873.800;74.844.532
2021-09-09;10,71;10,904;10,56;10,844;6.868.521;73.841.185
2021-09-08;10,762;10,922;10,67;10,812;7.894.023;85.192.701
2021-09-07;10,75;10,874;10,718;10,868;6.205.259;67.227.300
2021-09-06;10,61;10,834;10,566;10,762;6.424.293;69.133.148
2021-09-03;10,556;10,664;10,464;10,542;5.587.385;59.064.847
2021-09-02;10,582;10,668;10,476;10,562;5.057.896;53.379.859
2021-09-01;10,602;10,764;10,502;10,568;8.028.359;85.392.765
2021-08-31;10,42;10,544;10,372;10,528;7.683.284;80.517.861
2021-08-30;10,542;10,55;10,414;10,448;4.527.542;47.393.140
2021-08-27;10,542;10,558;10,348;10,522;6.693.828;70.067.310
2021-08-26;10,70;10,712;10,51;10,572;8.828.675;93.607.380
2021-08-25;10,63;10,83;10,612;10,818;5.139.180;55.254.861
2021-08-24;10,588;10,684;10,52;10,646;4.969.739;52.806.136
2021-08-23;10,57;10,618;10,462;10,494;4.745.044;49.901.750
2021-08-20;10,436;10,46;10,286;10,46;6.319.613;65.697.450
2021-08-19;10,472;10,61;10,44;10,49;8.265.991;86.912.364
2021-08-18;10,67;10,806;10,558;10,786;4.091.441;43.807.094
2021-08-17;10,73;10,762;10,564;10,686;7.199.752;76.708.273
2021-08-16;10,90;10,94;10,77;10,802;6.134.001;66.483.224
2021-08-13;10,94;11,08;10,92;10,974;5.338.983;58.719.222
2021-08-12;10,97;11,068;10,886;10,886;6.408.663;70.252.786
2021-08-11;10,928;11,014;10,826;10,964;8.838.849;96.832.779
2021-08-10;10,792;10,91;10,73;10,896;5.201.392;56.399.141
2021-08-09;10,80;10,928;10,702;10,904;6.774.371;73.288.608
2021-08-06;10,628;10,824;10,50;10,784;8.765.173;93.953.353
2021-08-05;10,45;10,666;10,426;10,632;6.496.722;68.589.682
2021-08-04;10,50;10,58;10,346;10,50;6.161.044;64.538.329
2021-08-03;10,534;10,648;10,346;10,472;6.250.641;65.664.879
2021-08-02;10,562;10,762;10,51;10,518;6.881.800;72.961.350
2021-07-30;10,788;10,836;10,638;10,658;7.536.586;80.635.875
2021-07-29;10,634;10,92;10,488;10,818;12.214.302;131.663.695
2021-07-28;10,84;11,10;10,458;10,50;17.217.694;183.763.715
2021-07-27;10,61;10,634;10,46;10,62;7.359.198;77.697.882
2021-07-26;10,46;10,714;10,384;10,658;5.411.904;57.223.040
2021-07-23;10,466;10,69;10,464;10,564;6.197.526;65.687.635
2021-07-22;10,576;10,668;10,406;10,422;7.669.098;80.712.546
2021-07-21;10,13;10,556;10,022;10,50;12.853.777;133.651.125
2021-07-20;10,024;10,132;9,819;10,07;9.533.118;95.467.412
2021-07-19;10,044;10,048;9,764;9,88;13.147.292;130.056.341
2021-07-16;10,458;10,478;10,136;10,196;7.878.992;80.879.113
2021-07-15;10,374;10,45;10,256;10,41;6.507.304;67.487.172
2021-07-14;10,41;10,578;10,36;10,406;6.162.226;64.511.922
2021-07-13;10,584;10,64;10,326;10,386;7.994.517;83.433.503
2021-07-12;10,554;10,652;10,368;10,594;7.028.325;73.914.861
2021-07-09;10,29;10,504;10,266;10,50;10.589.631;110.463.277
2021-07-08;10,364;10,392;10,106;10,186;14.737.454;150.534.830
2021-07-07;10,656;10,746;10,388;10,514;10.554.410;111.201.384
2021-07-06;11,076;11,078;10,59;10,62;10.378.572;111.401.303
2021-07-05;10,91;11,084;10,89;11,078;4.407.764;48.654.834
2021-07-02;11,138;11,146;10,912;10,918;6.460.279;70.955.602
2021-07-01;11,108;11,16;11,032;11,11;7.223.237;80.144.275
2021-06-30;11,00;11,058;10,754;10,986;10.354.563;113.093.971
2021-06-29;10,942;11,188;10,922;11,076;7.955.177;88.207.747
2021-06-28;11,028;11,136;10,908;10,91;9.397.556;103.378.792
2021-06-25;11,206;11,248;10,996;11,104;9.177.974;101.778.388
2021-06-24;10,944;11,036;10,856;11,008;8.905.848;97.605.460
2021-06-23;10,976;11,016;10,778;10,84;7.698.131;83.702.311
2021-06-22;11,094;11,104;10,834;10,916;12.794.481;139.849.243
2021-06-21;10,85;11,08;10,70;11,012;13.522.130;147.644.731
2021-06-18;11,264;11,316;10,928;10,958;26.363.496;291.626.246
2021-06-17;11,50;11,738;11,33;11,342;14.808.632;170.712.910
2021-06-16;11,736;11,75;11,254;11,324;10.850.128;123.542.364
2021-06-15;11,606;11,654;11,478;11,592;7.040.593;81.374.642
2021-06-14;11,678;11,762;11,56;11,568;7.657.697;89.051.652
2021-06-11;11,80;11,80;11,392;11,694;13.681.561;158.590.078
2021-06-10;12,002;12,146;11,878;11,896;9.720.560;116.406.149
2021-06-09;12,244;12,244;11,926;12,018;9.498.847;114.222.776
2021-06-08;12,316;12,442;12,134;12,282;7.967.480;97.889.065
2021-06-07;12,424;12,45;12,276;12,372;6.800.622;83.993.695
2021-06-04;12,55;12,558;12,314;12,374;7.375.186;91.501.277
2021-06-03;12,416;12,56;12,416;12,536;5.867.792;73.380.557
2021-06-02;12,39;12,47;12,34;12,452;7.004.830;87.054.383
2021-06-01;12,246;12,466;12,23;12,454;9.305.638;115.515.616
2021-05-31;12,288;12,288;12,034;12,192;6.199.576;75.422.440
2021-05-28;12,38;12,41;12,178;12,348;8.099.277;99.467.923
2021-05-27;12,01;12,334;11,966;12,25;21.536.919;263.325.471
2021-05-26;12,182;12,28;11,956;12,128;11.451.419;138.693.940
2021-05-25;12,022;12,512;12,00;12,27;14.606.725;179.855.402
2021-05-21;11,764;12,06;11,752;12,026;13.996.902;167.227.156
2021-05-20;11,70;11,784;11,624;11,75;7.803.978;91.421.864
2021-05-19;11,706;11,87;11,442;11,62;12.306.596;143.665.210
2021-05-18;11,85;11,896;11,684;11,764;8.655.875;101.957.386
2021-05-17;11,748;11,844;11,594;11,692;7.942.829;92.901.597
2021-05-14;11,674;11,882;11,62;11,776;9.000.839;105.869.659
2021-05-13;11,412;11,632;11,24;11,588;9.050.152;103.597.526
2021-05-12;11,378;11,708;11,262;11,594;11.983.106;138.001.718
2021-05-11;11,35;11,428;11,158;11,328;11.986.517;135.258.370
2021-05-10;11,63;11,652;11,388;11,566;12.754.457;146.835.915
2021-05-07;11,55;11,61;11,316;11,484;12.515.726;143.766.197
2021-05-06;11,35;11,482;11,256;11,376;9.772.173;110.970.738
2021-05-05;11,258;11,416;11,206;11,32;10.605.790;119.950.276
2021-05-04;11,40;11,492;10,946;11,04;15.404.402;171.710.549
2021-05-03;11,698;11,698;11,328;11,396;12.502.921;143.021.976
2021-04-30;11,60;11,778;11,526;11,606;15.663.547;182.440.672
2021-04-29;11,396;11,682;11,316;11,62;23.321.185;268.878.108
2021-04-28;10,57;11,374;10,558;11,276;32.369.920;358.431.480
2021-04-27;10,102;10,186;9,955;10,186;8.296.967;83.688.422
2021-04-26;9,867;10,094;9,74;10,082;10.044.841;100.487.511
2021-04-23;9,741;9,85;9,702;9,826;6.751.914;66.096.514
